Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
SUPER POWERFUL FIREWORK VS LOCK,2019-03-14,751769,10315,806,26,pCkJpxNv6l4,Beast Reacts
COCA COLA VS DRILL POWERED CHAINSAW,2019-03-12,1070355,12556,1148,26,ZBrxRN_7G0Q,Beast Reacts
GAS TORCH vs GUMMY BEAR,2019-03-10,795527,10272,1066,26,Y1Ddfj3Gwmg,Beast Reacts
FIREWORK VS WATERMELON EXPERIMENT,2019-03-08,680814,12740,921,26,jbuW-jBByoU,Beast Reacts
ICE VS 3,000 DEGREE GAS TORCH,2019-03-06,1130775,17918,1221,24,5-iiNwtNt_Y,Beast Reacts
100 GIANT MATCH BUNDLES VS FIRE,2019-03-04,1064286,17821,2510,24,Gpev9C7VPpw,Beast Reacts
AWESOME FIRE EXPERIMENTS,2019-03-02,1495372,19474,1338,24,QmEzNqPWI64,Beast Reacts
10 Gallons of Liquid Nitrogen vs Watermelon,2019-02-28,1324024,21686,1300,24,gLvW1Ydsn2Q,Beast Reacts
Will 40,000 M&Ms Flush?,2019-02-26,14631534,213302,16045,24,Z0IADN0jOw8,Beast Reacts
5 CRAZY WAYS TO OPEN A LOCK,2019-02-24,1031988,15797,1255,24,OdXDoVWlDPw,Beast Reacts
#1 Most Insane Magnet Life Hack Ever,2019-02-22,8762508,321780,2671,24,fO3MoyzdQKI,Beast Reacts
MENTOS VS COCA COLA WATERMELON,2019-02-18,2557302,32545,2499,24,iM6aQr_sJAg,Beast Reacts
AXE vs LITHIUM BATTERY,2019-02-15,3456164,33743,2802,24,nPJgBkWhZnM,Beast Reacts
GAS TORCH VS PADLOCK,2019-02-13,3664100,41590,4294,24,Luo8jR940lE,Beast Reacts
Amazing science experiments,2019-02-11,4224322,37014,3008,24,F6P2Lay4Zfs,Beast Reacts
1000 DEGREE METAL BALL VS MENTOS - EXPERIMENT,2019-02-09,2221768,25812,2176,24,k3Vey3Ba4ww,Beast Reacts
WHAT CAN YOU CUT WITH PAPER?,2019-02-06,8139778,87270,4834,24,G4ZmDfLLzN4,Beast Reacts
COOL CUSTOM FIRE CROSSBOW EXPERIMENT,2019-02-04,4679325,46744,2944,24,fY123wWYbo0,Beast Reacts
LIQUID NITROGREN vs PEPSI SMASHED,2019-02-02,5212449,62939,8989,24,9KgAZsTU2U4,Beast Reacts
The Most Satisfying Glove Ever Made,2019-01-29,1287121,16101,1992,24,GlU1waMbF0Y,Beast Reacts
Microwaving Things For 10 Hours Straight,2019-01-26,4782540,59717,5447,24,us2fkdDTZss,Beast Reacts
10 CRAZY LIFE HACK EXPERIMENTS,2019-01-24,11779648,117883,6795,24,7xrhfH-quzg,Beast Reacts
PEPSI VS 3,000 DEGREE GAS TORCH,2019-01-22,1398240,25974,3412,24,jgpbPhTNrF4,Beast Reacts
AMAZING DIY DC MOTOR AIRPLANE!,2019-01-12,1800585,20351,2036,24,8mAVK2yJkDU,Beast Reacts
GIANT BLENDER VS MENTOS! - EXPERIMENT,2019-01-10,4118260,54485,2851,24,NzqONki5ojA,Beast Reacts
INSANE GIANT MATCH BOTTLE FIRE!,2019-01-03,4662434,43622,2307,24,jpF4fGIt44g,Beast Reacts
How to Make a Match House and Burn It,2018-12-28,1330679,16373,2150,24,z9ypw1gwJvA,Beast Reacts
15 AWESOME BALLOON TRICKS!,2018-12-24,1832609,142114,3417,24,bIHpdsAl_3E,Beast Reacts
10K ORBEEZ BALLOON VOLCANO!,2018-12-22,3751204,38871,3928,24,CBD_WDV1CXg,Beast Reacts
THE BEST DIY BALLOON TRICKS!,2018-12-20,1963775,23314,1873,24,GrTH94UhOzA,Beast Reacts
Crushing Super Satisfying Things By Car - DIY Crafts,2018-12-17,1015005,14524,1529,24,RW5Jb46YUKQ,Beast Reacts
1000 DEGREE METAL BALL VS ICE - EXPERIMENT,2018-12-15,13317449,201637,7127,24,UMivhfKRslQ,Beast Reacts
SUPER CHARGED ROCKET HOT WHEELS!!,2018-12-13,3497209,34984,4006,24,Jobv3ts7UHU,Beast Reacts
Awesome Fire Slingshot Experiments and Crafts,2018-12-09,1288976,15595,3416,24,u8w-Ji9DJOA,Beast Reacts
15 Amazing Crafts That You Must See,2018-12-07,1915434,17391,3123,24,OQBgnJA0Cc4,Beast Reacts
Giant Mentos Crafts & Experiments,2018-12-04,3564706,38316,2893,24,tdvchZwNNV0,Beast Reacts
Amazing Fire Crafts and Awesome Experiments,2018-12-01,3068724,24279,2098,24,32uS545r2HM,Beast Reacts
The Best Everyday DIY Life Hacks,2018-11-28,2489666,25948,2161,24,FhpBYpkJ4fw,Beast Reacts
This Amazing Life Hack Will Change Your Life,2018-11-26,2284191,30366,2393,24,EqkdC9PsnUs,Beast Reacts
Awesome Free Energy DIY Life hacks,2018-11-18,7673436,65930,4180,24,e3swpJrY7a0,Beast Reacts
Super unexpected DIY life hacks,2018-11-12,1456032,25713,2917,24,qFQjEZF8TiA,Beast Reacts
Super Satisfying Kinetic Sand DIY,2018-11-07,3664728,48172,4095,24,67MptG3oS-A,Beast Reacts
Amazing Match bottle DIY Experiments,2018-10-31,3662129,47432,2992,24,uuRfBQf1Wv4,Beast Reacts
The Best Last Minute Halloween DIY Life Hacks,2018-10-26,8484413,67619,8033,24,URMz9f4P-4c,Beast Reacts
The Best DIY Watermelon Life Hacks,2018-10-14,9722647,143830,8279,24,crp1p8G-Kos,Beast Reacts
$100 to Skydive,2023-02-03,21140929,1780374,3939,22,wWoTXm9rBzo,MrBeast 2
I Met the Real MrBeast,2023-01-18,33927853,1696686,21211,22,9uNTBYDa8q8,MrBeast 2
